                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4567,                 4.1811,                 1.1813,                0.41403,                0.19772,                0.22251,                0.14516,                 1.1888,                 7.8278,                 1.1315,              7.056e-05,              7.056e-05,              7.056e-05
                      2,                 1.0798,                 1.7579,                 1.0296,                0.61784,                0.27008,                0.33119,                0.22847,                 1.0395,                 2.3595,                 1.0631,             0.00014118,             0.00014118,             0.00014118
                      3,                 1.0615,                  1.272,                 1.0248,                0.74018,                0.57686,                0.60337,                 0.4347,                0.97488,                 1.3607,                 1.0316,             0.00020574,             0.00020574,             0.00020574
                      4,                0.99135,                0.98296,                 1.0021,                0.93308,                0.95241,                0.97859,                0.71462,                0.99396,                0.91685,                 1.0238,             0.00026425,             0.00026425,             0.00026425
                      5,                0.96126,                0.84008,                0.98191,                0.94278,                 0.9586,                0.98525,                0.73272,                0.95518,                0.83726,                 1.0215,             0.00031671,             0.00031671,             0.00031671
                      6,                0.98069,                0.81631,                0.99151,                0.96147,                0.96545,                0.98706,                 0.7494,                0.92549,                0.68259,                 0.9934,             0.00036311,             0.00036311,             0.00036311
                      7,                 0.9669,                 0.7258,                0.98248,                0.90633,                0.96091,                 0.9849,                0.73488,                0.94528,                0.74744,                0.99556,             0.00040346,             0.00040346,             0.00040346
                      8,                0.93613,                0.72342,                0.97898,                0.94708,                0.96885,                0.98297,                0.73605,                0.94905,                0.63314,                0.98363,             0.00042501,             0.00042501,             0.00042501
                      9,                0.90603,                0.66836,                0.97563,                0.97451,                0.97984,                0.98756,                0.76259,                0.89727,                0.61055,                0.97438,             0.00042501,             0.00042501,             0.00042501
                     10,                0.87872,                0.64256,                0.95639,                0.95708,                0.97787,                 0.9843,                0.75642,                0.89844,                 0.6105,                0.98519,             0.00040172,             0.00040172,             0.00040172
                     11,                0.86275,                0.60507,                 0.9479,                  0.965,                0.96419,                0.98539,                0.78112,                0.82979,                0.59235,                0.94712,             0.00037844,             0.00037844,             0.00037844
                     12,                0.81787,                0.59182,                0.94152,                0.95496,                0.97082,                0.98524,                0.78799,                0.80289,                0.53223,                0.94364,             0.00035515,             0.00035515,             0.00035515
                     13,                0.82254,                0.58211,                0.93913,                 0.9851,                0.98587,                0.98489,                0.76988,                0.82445,                0.51506,                0.96019,             0.00033187,             0.00033187,             0.00033187
                     14,                0.80803,                0.57741,                0.93015,                0.98494,                0.97978,                0.98396,                0.77425,                0.81961,                0.48975,                0.94951,             0.00030858,             0.00030858,             0.00030858
                     15,                0.82459,                0.53024,                0.93795,                0.98483,                0.98306,                0.98404,                0.76388,                0.85435,                0.48256,                0.97967,              0.0002853,              0.0002853,              0.0002853
                     16,                0.79689,                0.50713,                0.94539,                0.97781,                0.98772,                0.98632,                0.79271,                0.78668,                0.46639,                0.93751,             0.00026201,             0.00026201,             0.00026201
                     17,                0.78527,                0.49724,                0.94802,                0.98092,                0.99141,                0.98742,                0.79404,                0.77571,                0.45495,                0.93593,             0.00023873,             0.00023873,             0.00023873
                     18,                 0.7541,                0.46436,                0.93319,                0.98179,                0.99014,                0.98622,                0.77653,                0.82669,                0.45911,                 0.9786,             0.00021544,             0.00021544,             0.00021544
                     19,                0.76878,                0.47057,                0.94487,                0.97972,                0.98956,                0.98257,                0.76113,                0.84413,                0.45518,                0.98474,             0.00019216,             0.00019216,             0.00019216
                     20,                0.77338,                0.46174,                0.93472,                0.98298,                0.98907,                0.98333,                0.76317,                0.83685,                0.44947,                0.97556,             0.00016887,             0.00016887,             0.00016887
                     21,                0.75507,                0.44398,                0.94132,                0.98332,                0.98979,                0.98415,                0.79676,                0.74724,                0.41744,                0.92994,             0.00014559,             0.00014559,             0.00014559
                     22,                0.72412,                0.43436,                0.91853,                0.98706,                0.98867,                0.98325,                0.79444,                0.76091,                0.41658,                 0.9362,              0.0001223,              0.0001223,              0.0001223
                     23,                0.71938,                0.41921,                0.93342,                0.98012,                0.99301,                0.98373,                0.79262,                0.76071,                0.41634,                 0.9338,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     24,                 0.7258,                0.42299,                0.92029,                0.98235,                0.99051,                0.98348,                0.79759,                0.74159,                0.40302,                0.92422,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     25,                0.71989,                 0.4207,                0.91202,                0.98364,                0.99206,                0.98328,                 0.7919,                0.77489,                 0.4023,                0.94082,              5.245e-05,              5.245e-05,              5.245e-05
